MODEL SA230P OPTIONS CH1,MEA,EXC,DGT,CST SERIAL AQ00071865
DRIVER 3.9.20621.38
FIRMWARE Stage1 Version 3.7.393.0, FPGA Firmware Version 3.7.393.70110/AVG.CST.DGT/SFIR, FE CPLD 1/0.4.0.0
IO ControlIO1 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,In-AccumulationEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO2 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AcquisitionActive,In-TriggerEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO3 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AnalyzerArmed,Out-Software,In-Software,In-EnableFirstTrigger
GATE_CAPABILITY ControlIO2 (does not prove first-edge timing or CST operation)
SETUP_APPLIED CST=Triggered gate=ControlIO2 signal=In-TriggerEnable samples=6150016 rate=1e9 threshold_50ohm_V=1
ARMED: waiting for hardware-qualified edges; DIAGNOSTIC ONLY, WAVEFORMS NOT SAVED
record,index,first_sample_s,interval_s,host_elapsed_s,samples,firstElement
WAVE_PREVIEW stride=64 raw_min=-32768 raw_max=-6433 rises=6 approx_frequency_Hz=1000.06400409626 (raw units, not calibrated amplitude; 0 means insufficient crossings)
209,208,3.255081716,0.006828008,1.4245768,6150016,8
210,209,3.26190972,0.006828004,1.4314308,6150016,8
211,210,3.268737724,0.006828004,1.4383025,6150016,8
212,211,3.275565728,0.006828004,1.4450598,6150016,8
213,212,3.282393736,0.006828008,1.4518672,6150016,8
214,213,3.28922174,0.006828004,1.4587219,6150016,8
215,214,3.296049744,0.006828004,1.4655472,6150016,8
216,215,3.302877748,0.006828004,1.4723712,6150016,8
217,216,3.309705756,0.006828008,1.4791986,6150016,8
218,217,3.31653376,0.006828004,1.4860792,6150016,8
219,218,3.323361764,0.006828004,1.4928748,6150016,8
220,219,3.330190768,0.006829004,1.4997133,6150016,8
221,220,3.337018776,0.006828008,1.5065196,6150016,8
222,221,3.34384678,0.006828004,1.5133869,6150016,8
223,222,3.350674784,0.006828004,1.520196,6150016,8
224,223,3.357502788,0.006828004,1.5269825,6150016,8
225,224,3.364330796,0.006828008,1.5338348,6150016,8
226,225,3.3711588,0.006828004,1.5406731,6150016,8
227,226,3.377986804,0.006828004,1.5474985,6150016,8
228,227,3.384814808,0.006828004,1.55433,6150016,8
229,228,3.391642816,0.006828008,1.5611917,6150016,8
230,229,3.39847082,0.006828004,1.5679545,6150016,8
231,230,3.405298824,0.006828004,1.5747897,6150016,8
232,231,3.412126828,0.006828004,1.5816178,6150016,8
233,232,3.418954836,0.006828008,1.5884494,6150016,8
234,233,3.42578284,0.006828004,1.5952915,6150016,8
235,234,3.432610844,0.006828004,1.6021022,6150016,8
236,235,3.439438848,0.006828004,1.608962,6150016,8
237,236,3.446266852,0.006828004,1.6157775,6150016,8
238,237,3.45309586,0.006829008,1.6226131,6150016,8
